Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
со    516        0.00246
оо    54         0.00026
зд    168        0.00080
ел    1003       0.00478
ьс    209        0.00100
тв    395        0.00188
ас    752        0.00358
т     1106       0.00527
жд    164        0.00078
жи    264        0.00126
бы    682        0.00325
ам    723        0.00344
зк    51         0.00024
ря    239        0.00114
зн    258        0.00123
ыр    67         0.00032
гд    265        0.00126
се    537        0.00256
ча    381        0.00181
хв    70         0.00033
ты    279        0.00133
ве    1033       0.00492
пр    1219       0.00581
от    1285       0.00612
ив    361        0.00172
ах    203        0.00097
пл    206        0.00098
ес    896        0.00427
ен    1007       0.00480
ью    75         0.00036
ух    82         0.00039
де    820        0.00391
еч    193        0.00092
ег    603        0.00287
ет    745        0.00355
 х    349        0.00166
би    584        0.00278
чь    92         0.00044
ач    153        0.00073
ая    323        0.00154
ь     2390       0.01138
ид    305        0.00145
еа    1          0.00000
 к    1901       0.00905
гл    275        0.00131
ак    961        0.00458
юм    7          0.00003
рь    144        0.00069
вы    519        0.00247
кр    452        0.00215
аш    199        0.00095
зе    118        0.00056
с     977        0.00465
си    248        0.00118
яю    16         0.00008
ще    178        0.00085
ме    681        0.00324
уч    178        0.00085
ди    413        0.00197
ял    206        0.00098
ох    127        0.00060
ож    347        0.00165
же    478        0.00228
ун    111        0.00053
ез    239        0.00114
бл    265        0.00126
оу    10         0.00005
ы     1181       0.00562
та    1145       0.00545
бш    3          0.00001
ля    295        0.00140
ми    561        0.00267
тк    137        0.00065
тл    35         0.00017
вд    87         0.00041
вс    512        0.00244
юд    85         0.00040
у     1277       0.00608
рю    28         0.00013
чо    27         0.00013
чк    67         0.00032
дл    108        0.00051
шл    127        0.00060
яп    4          0.00002
ьт    21         0.00010
 л    645        0.00307
юб    30         0.00014
ил    1524       0.00726
ви    556        0.00265
лс    430        0.00205
ьш    183        0.00087
ше    363        0.00173
ьн    175        0.00083
уб    101        0.00048
са    264        0.00126
лм    38         0.00018
им    448        0.00213
мн    293        0.00140
уж    239        0.00114
дв    200        0.00095
уг    241        0.00115
ей    370        0.00176
ав    535        0.00255
ни    1563       0.00744
ца    86         0.00041
сп    345        0.00164
ба    125        0.00060
це    133        0.00063
ку    306        0.00146
га    260        0.00124
рд    78         0.00037
ом    1235       0.00588
хр    26         0.00012
ие    351        0.00167
хн    44         0.00021
 э    335        0.00160
ее    131        0.00062
лу    334        0.00159
чш    28         0.00013
ис    702        0.00334
ую    220        0.00105
их    449        0.00214
кн    76         0.00036
дя    51         0.00024
щи    157        0.00075
ош    176        0.00084
вш    133        0.00063
ся    901        0.00429
ек    208        0.00099
ш     116        0.00055
ьм    24         0.00011
оя    130        0.00062
фа    60         0.00029
бэ    84         0.00040
гг    50         0.00024
сы    73         0.00035
тя    118        0.00056
ых    223        0.00106
сч    86         0.00041
чт    517        0.00246
йс    58         0.00028
ик    376        0.00179
ич    157        0.00075
кл    158        0.00075
юч    48         0.00023
оз    295        0.00140
ео    74         0.00035
аж    227        0.00108
мы    295        0.00140
ед    508        0.00242
ае    173        0.00082
вт    50         0.00024
ян    114        0.00054
ул    301        0.00143
ия    159        0.00076
ша    160        0.00076
пк    16         0.00008
мо    706        0.00336
ув    121        0.00058
р     314        0.00150
вп    68         0.00032
цо    47         0.00022
кт    77         0.00037
уй    33         0.00016
бн    85         0.00040
вр    179        0.00085
дк    72         0.00034
ят    252        0.00120
ыс    148        0.00070
лю    167        0.00080
из    394        0.00188
сл    586        0.00279
ец    84         0.00040
рн    263        0.00125
ну    605        0.00288
бо    844        0.00402
лш    45         0.00021
ум    243        0.00116
сш    24         0.00011
як    39         0.00019
еу    15         0.00007
юж    9          0.00004
шу    51         0.00024
ьк    187        0.00089
яр    34         0.00016
ущ    45         0.00021
шм    8          0.00004
ур    139        0.00066
ех    83         0.00040
ьц    49         0.00023
иц    75         0.00036
см    157        0.00075
ею    20         0.00010
гу    115        0.00055
ым    230        0.00110
еп    186        0.00089
лж    43         0.00020
уш    108        0.00051
 е    657        0.00313
эг    53         0.00025
ги    215        0.00102
нс    103        0.00049
ши    347        0.00165
вз    87         0.00041
ьф    203        0.00097
ьз    25         0.00012
иб    100        0.00048
ои    191        0.00091
лн    85         0.00040
мь    14         0.00007
 ф    87         0.00041
ыш    123        0.00059
нг    10         0.00005
тч    19         0.00009
нц    64         0.00030
св    308        0.00147
ьб    369        0.00176
ын    37         0.00018
пи    184        0.00088
йн    89         0.00042
лг    44         0.00021
зр    56         0.00027
пя    64         0.00030
сн    279        0.00133
др    312        0.00149
иш    105        0.00050
 ш    193        0.00092
ях    52         0.00025
вя    48         0.00023
бк    20         0.00010
г     206        0.00098
кс    16         0.00008
 а    274        0.00130
кк    1          0.00000
ч     103        0.00049
 щ    32         0.00015
эт    273        0.00130
гэ    104        0.00050
нд    133        0.00063
эн    105        0.00050
ф     78         0.00037
сс    109        0.00052
ют    103        0.00049
вл    92         0.00044
гр    164        0.00078
су    122        0.00058
ры    349        0.00166
ещ    198        0.00094
ке    145        0.00069
ха    105        0.00050
ащ    63         0.00030
ап    175        0.00083
иж    50         0.00024
яс    118        0.00056
